brand,model_family,variant,generation,year_from,year_to,years_label,market_region,segment,engine,displacement_cc,displacement_is_approx,power_value,power_unit,power_hp_normalized,power_is_approx,torque_nm,torque_is_approx,gearbox,drive,front_wheel_in,rear_wheel_in,front_tire,rear_tire,fuel_l,fuel_is_approx,weight_kg,weight_type,seat_mm,support_level,data_status,mototwin_comment,source_url
Ducati,Multistrada V4,Multistrada V4,Multistrada V4 / current,2025,,2025-н.в. / current,GLOBAL,Big adventure / sport touring,V4 Granturismo 90-degree V4 liquid-cooled,1158,False,170,hp,170,False,124,False,6-speed,CHAIN,19,17,120/70 R19,170/60 R17,22.0,True,232,without_fuel,840/860,MVP_CORE,official_current_partial,Ключевая Ducati adventure/touring платформа; 19/17 против Pikes Peak 17/17.,https://www.ducati.com/ww/en/bikes/multistrada/multistrada-v4
Ducati,Multistrada V4,Multistrada V4 Rally,Multistrada V4 Rally / current,2023,,2023-н.в. / current,US,Big adventure / long-range touring,V4 Granturismo 90-degree V4 liquid-cooled,1158,False,170,hp,170,False,123.8,False,6-speed,CHAIN,19,17,120/70 R19,170/60 R17,30.0,True,240,without_fuel,870/890,MVP_CORE,official_current_partial,Rally имеет большой бак и другой туристический профиль; не смешивать с базовой V4.,https://www.ducati.com/us/en/bikes/multistrada/multistrada-v4-rally
Ducati,Multistrada V4,Multistrada V4 Pikes Peak,Multistrada V4 Pikes Peak / current,2022,,2022-н.в. / current,US,Sport touring / performance crossover,V4 Granturismo 90-degree V4 liquid-cooled,1158,False,170,hp,170,False,124,False,6-speed,CHAIN,17,17,120/70 ZR17,190/55 ZR17,22.0,True,229,without_fuel,840/860,COMMUNITY_SUPPORT,official_current_partial,Pikes Peak — отдельная 17/17 performance-конфигурация.,https://www.ducati.com/us/en/bikes/multistrada/multistrada-v4-pikes-peak
Ducati,DesertX,DesertX 937,DesertX 937 / current,2022,2025,2022-2025,US,Adventure / off-road,Testastretta 11-degree V-twin liquid-cooled,937,False,110,hp,110,False,92,False,6-speed,CHAIN,21,18,90/90-21,150/70 R18,21.0,True,210,without_fuel,875,MVP_CORE_LEGACY,official_legacy_current_partial,Важная Ducati off-road adventure платформа; 21/18.,https://www.ducati.com/us/en/bikes/desertx/desertx-937/tech-specs
Ducati,DesertX,DesertX Rally,DesertX Rally / current,2024,,2024-н.в. / current,US,Adventure / rally off-road,Testastretta 11-degree V-twin liquid-cooled,937,False,110,hp,110,False,92,False,6-speed,CHAIN,21,18,90/90-21,150/70 R18,21.0,True,211,without_fuel,910,COMMUNITY_SUPPORT,official_current_partial,Rally-версия с другой подвеской и высокой посадкой; отдельная конфигурация.,https://www.ducati.com/us/en/bikes/desertx/desertx-rally
Ducati,DesertX,DesertX V2,DesertX V2 / MY2026,2026,,2026-н.в.,US,Adventure / off-road,890cc Ducati V2 IVT liquid-cooled,890,False,110.3,hp,110.3,False,92,False,6-speed,CHAIN,21,18,90/90-21,150/70 R18,21.0,True,209,without_fuel,880,EARLY_BETA,official_current_partial,Новая 890cc DesertX; не объединять с 937cc поколением.,https://www.ducati.com/us/en/bikes/desertx/desertx-v2
Ducati,Panigale V4,Panigale V4,Panigale V4 / current,2025,,2025-н.в. / current,US,Sport / superbike,Desmosedici Stradale 90-degree V4 liquid-cooled,1103,False,209,hp,209,False,121.3,False,6-speed,CHAIN,17,17,120/70 ZR17,200/60 ZR17,17.0,True,191,without_fuel,850,COMMUNITY_SUPPORT,official_current_partial,Superbike Ducati; отдельные спорт/трек расходники.,https://www.ducati.com/us/en/bikes/panigale/panigale-v4/engine
Ducati,Panigale V4,Panigale V4 S,Panigale V4 S / current,2025,,2025-н.в. / current,US,Sport / superbike premium,Desmosedici Stradale 90-degree V4 liquid-cooled,1103,False,209,hp,209,False,121.3,False,6-speed,CHAIN,17,17,120/70 ZR17,200/60 ZR17,17.0,True,187,without_fuel,850,EARLY_BETA,official_current_partial,S-версия легче; подвеска/колеса/комплектация отличаются.,https://www.ducati.com/us/en/bikes/panigale/panigale-v4/engine
Ducati,Monster,Monster 937,Monster 937 / current,2021,2025,2021-2025,US,Naked / sport,Testastretta 11-degree V2 liquid-cooled,937,False,111,hp,111,False,93,False,6-speed,CHAIN,17,17,120/70 ZR17,180/55 ZR17,14.0,True,179,without_fuel,820,COMMUNITY_SUPPORT,official_current_partial,Массовый naked Ducati; для РФ важен вторичный рынок.,https://www.ducati.com/us/en/bikes/monster/monster-937
Ducati,Monster,Monster V2,Monster V2 / MY2026,2026,,2026-н.в.,US,Naked / sport,890cc Ducati V2 liquid-cooled IVT,890,False,110.7,hp,110.7,False,91.1,False,6-speed,CHAIN,17,17,120/70 ZR17,180/55 ZR17,14.0,True,175,without_fuel,815,EARLY_BETA,official_current_partial,Новое 890cc поколение Monster; не смешивать с 937cc.,https://www.ducati.com/us/en/bikes/monster/monster-v2
