staging_row_key,application_key,review_status,blocker_codes,priority,safety_critical,assigned_reviewer,notes,queued_at
BMW|R 1300 GS|base|KA1|ENGINE.LUBE.FILTER|11427105320|US,BMW|R 1300 GS|base|KA1|ENGINE.LUBE.FILTER|11427105320|US,NEEDS_REVIEW,REGION_MISMATCH,NORMAL,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-eu-cross-check-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=US; evidence_level=C; region_match_status=REGION_MISMATCH; US bootstrap — EU cross-chec,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ENGINE.LUBE.FILTER|11427105320|EU,BMW|R 1300 GS|base|KA1|ENGINE.LUBE.FILTER|11427105320|EU,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-upgrade-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=B; region_match_status=CROSS_REGION_MATCH; KA1/0M21 microfiche pos 1; U,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ENGINE.LUBE.OIL|SAE5W40|GLOBAL,BMW|R 1300 GS|base|KA1|ENGINE.LUBE.OIL|SAE5W40|GLOBAL,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; API SL / JASO MA2; HF160RC referenced in service schedules,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|INTAKE.FILTER|13725A72844|US,BMW|R 1300 GS|base|KA1|INTAKE.FILTER|13725A72844|US,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-oem-skus-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=US; evidence_level=B; region_match_status=CROSS_REGION_MATCH; Resolved: US maintenance BOM tr,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|INTAKE.FILTER|13725A72844|EU,BMW|R 1300 GS|base|KA1|INTAKE.FILTER|13725A72844|EU,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-upgrade-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=B; region_match_status=CROSS_REGION_MATCH; KA1/0M21 microfiche pos 4; U,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ELECTRICS.IGNITION.SPARK|12128560811|EU,BMW|R 1300 GS|base|KA1|ELECTRICS.IGNITION.SPARK|12128560811|EU,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=C; region_match_status=TARGET_REGION_MATCH; Two spark plugs per service interval,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FRONT.PADS|34117108409|US,BMW|R 1300 GS|base|KA1|BRAKES.FRONT.PADS|34117108409|US,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-eu-cross-check-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=US; evidence_level=C; region_match_status=CROSS_REGION_MATCH; One set per caliper; two ,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FRONT.PADS|34117108409|EU,BMW|R 1300 GS|base|KA1|BRAKES.FRONT.PADS|34117108409|EU,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-upgrade-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=B; region_match_status=CROSS_REGION_MATCH; KA1/0M21 microfiche pos 3; U,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.REAR.PADS|34217108470|US,BMW|R 1300 GS|base|KA1|BRAKES.REAR.PADS|34217108470|US,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-eu-cross-check-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=US; evidence_level=C; region_match_status=CROSS_REGION_MATCH; EU cross-check confirms s,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.REAR.PADS|34217108470|EU,BMW|R 1300 GS|base|KA1|BRAKES.REAR.PADS|34217108470|EU,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-eu-cross-check-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=B; region_match_status=TARGET_REGION_MATCH; Cross-check: US+EU deale,2026-06-16T12:00:00.000Z
